239 1 41179
126 1 20866
91 1 14446
164 1 28269
188 1 32601
9 3 1451
12 3 2028
189 3 32636
212 3 36399
216 3 37237
241 3 41355
252 3 42880
254 3 42983
258 3 43286
266 3 44555
161 1 27461
13 1 2180
213 3 36435
175 3 29706
221 2 38274
264 3 44132
211 1 36134
180 1 30702
273 2 46011
283 2 47802
948 1 170420
477 1 84723
177 2 30066
493 2 88034
110 1 18024
73 2 11840
67 2 10375
83 2 13281
101 2 16250
163 1 27959
102 3 16436
103 3 16657
104 1 16983
115 1 18638
135 2 22301
437 1 76676
206 3 35232
207 3 35510
219 3 37762
224 3 38797
235 2 40611
261 2 43491
270 3 45240
272 2 45730
320 2 54902
124 1 20264
579 2 107035
332 1 57001
452 1 79651
160 1 27178
150 3 25196
0 1 59
218 1 37527
39 2 6561
267 3 44597
274 2 46273
427 2 74727
154 3 26152
183 2 31473
185 2 31824
186 3 32066
193 1 33390
279 2 47231
859 1 160371
422 1 73979
263 3 43959
222 1 38479
275 1 46512
106 1 17399
94 3 14927
277 1 46844
98 1 15710
49 1 7666
76 3 12356
89 3 14208
125 1 20569
149 1 24974
217 1 37275
247 3 42230
269 2 45083
262 3 43696
576 1 106499
618 1 114451
70 1 11123
214 1 36715
291 3 49129
415 1 72584
589 3 108906
24 2 3915
93 1 14625
174 3 29417
209 3 35776
460 2 80935
268 2 44850
286 3 48368
117 2 19054
835 1 155601
350 1 60964
8 3 1377
53 2 8393
77 2 12581
259 1 43329
280 1 47511
278 3 47096
462 1 81182
184 1 31714
47 3 7516
87 1 14052
195 1 33763
50 1 7933
2 1 377
82 2 13146
144 2 24000
285 1 48245
201 1 34621
281 3 47588
276 3 46706
121 2 19737
142 2 23702
7 3 1185
146 3 24226
588 3 108760
74 1 12127
26 2 4199
85 1 13748
158 3 26914
178 2 30362
155 3 26403
111 1 18223
28 2 4425
112 1 18374
19 2 3244
105 2 17240
23 2 3760
200 1 34471
284 2 48086
134 2 22159
79 3 12768
37 1 6054
33 1 5203
34 1 5418
36 1 5847
35 1 5629
51 3 8126
21 3 3538
45 2 7289
794 2 147088
616 3 113772
290 3 49066
6 3 1124
203 2 34815
198 1 34254
68 1 10657
521 1 94779
25 3 4114
65 1 9977
236 1 40932
75 3 12243
84 1 13549
86 2 13991
526 3 95848
315 3 54061
409 2 71725
116 2 18943
251 1 42812
237 1 40992
118 3 19350
202 2 34727
253 3 42924
11 2 1891
42 2 6999
96 3 15493
123 2 20068
128 2 21141
52 2 8195
5 1 993
471 3 83366
63 3 9746
412 2 72052
129 3 21344
430 2 75449
131 3 21713
157 3 26658
159 3 27053
512 2 92770
523 2 95199
208 2 35663
230 2 40047
231 2 40117
246 2 42022
288 2 48745
287 3 48637
419 2 73468
109 3 17921
114 3 18544
506 2 91268
930 2 166718
931 3 166885
492 1 87824
38 3 6269
148 2 24659
176 2 29882
514 1 93159
64 1 9901
107 1 17662
57 1 8853
205 3 35133
240 2 41210
108 1 17797
560 2 103505
194 2 33655
502 2 90216
133 1 22080
260 1 43412
1 1 305
156 3 26542
113 1 18455
242 1 41388
223 1 38738
255 2 43018
145 1 24119
337 3 57861
14 2 2421
97 1 15618
225 2 39096
196 3 33905
22 1 3651
48 2 7603
232 1 40301
59 3 9032
210 2 36008
55 1 8674
32 3 5014
199 1 34363
32 1 5014
245 3 41834
165 3 28306
166 3 28390
167 3 28470
168 3 28552
170 3 28716
17 3 2946
396 2 69349
29 2 4527
46 3 7423
66 3 10212
119 2 19409
41 2 6831
138 2 22925
204 3 34921
448 2 78943
413 3 72225
433 3 75980
394 3 68995
399 2 69987
454 2 80046
