OC#;CardName;NotInDeck;InDeck#
0;11177 Yotian Soldier;0;1
1;3279 Fang Skulkin;0;1
2;6897 Origin Spellbomb;0;1
3;7468 Puncture Blast;1;0
4;10631 Vitalize;1;0
5;7358 Primal Bellow;1;0
6;3861 Giant Growth;1;0
7;7488 Purphoros, God of the Forge;0;1
8;4310 Guise of Fire;0;1
9;5829 Malevolent Awakening;0;1
10;3572 Font of Return;0;1
11;2226 Dark Favor;0;1
12;10163 Traveling Philosopher;0;1
13;10163 Traveling Philosopher;0;1
14;8984 Soltari Crusader;0;1
15;5302 Kjeldoran Skycaptain;0;1
16;10290 Two-Headed Cerberus;0;1
17;6176 Minotaur Skullcleaver;0;1
18;3600 Forge Devil;0;1
19;2183 Cyclops of One-Eyed Pass;0;1
20;1136 Bloodfire Expert;0;1
21;1117 Blood Ogre;0;1
22;9510 Sunastian Falconer;1;0
23;9155 Spike Hatcher;1;0
24;11213 Zof Shade;0;1
25;10122 Toxic Nim;0;1
26;10122 Toxic Nim;0;1
27;4120 Gorgon Recluse;0;1
28;2642 Doomgape;0;1
29;4 Plains;0;1
30;4 Plains;0;1
31;4 Plains;0;1
32;4 Plains;0;1
33;4 Plains;0;1
34;3 Mountain;0;1
35;3 Mountain;0;1
36;3 Mountain;0;1
37;3 Mountain;0;1
38;3 Mountain;0;1
39;3 Mountain;0;1
40;3 Mountain;0;1
41;3 Mountain;0;1
42;3 Mountain;0;1
43;0 Swamp;0;1
44;0 Swamp;0;1
45;0 Swamp;0;1
46;0 Swamp;0;1
47;6352 Mountain Valley;1;0
48;-1 NONE;0;-1
49;-1 NONE;0;-1
50;-1 NONE;0;-1
51;-1 NONE;0;-1
52;-1 NONE;0;-1
53;-1 NONE;0;-1
54;-1 NONE;0;-1
55;-1 NONE;0;-1
56;-1 NONE;0;-1
57;-1 NONE;0;-1
58;-1 NONE;0;-1
59;-1 NONE;0;-1
60;-1 NONE;0;-1
61;-1 NONE;0;-1
62;-1 NONE;0;-1
63;-1 NONE;0;-1
64;-1 NONE;0;-1
65;-1 NONE;0;-1
66;-1 NONE;0;-1
67;-1 NONE;0;-1
68;-1 NONE;0;-1
69;-1 NONE;0;-1
70;-1 NONE;0;-1
71;-1 NONE;0;-1
72;-1 NONE;0;-1
73;-1 NONE;0;-1
74;-1 NONE;0;-1
75;-1 NONE;0;-1
76;-1 NONE;0;-1
77;-1 NONE;0;-1
78;-1 NONE;0;-1
79;-1 NONE;0;-1
80;-1 NONE;0;-1
81;-1 NONE;0;-1
82;-1 NONE;0;-1
83;-1 NONE;0;-1
84;-1 NONE;0;-1
85;-1 NONE;0;-1
86;-1 NONE;0;-1
87;-1 NONE;0;-1
88;-1 NONE;0;-1
89;-1 NONE;0;-1
90;-1 NONE;0;-1
91;-1 NONE;0;-1
92;-1 NONE;0;-1
93;-1 NONE;0;-1
94;-1 NONE;0;-1
95;-1 NONE;0;-1
96;-1 NONE;0;-1
97;-1 NONE;0;-1
98;-1 NONE;0;-1
99;-1 NONE;0;-1
100;-1 NONE;0;-1
101;-1 NONE;0;-1
102;-1 NONE;0;-1
103;-1 NONE;0;-1
104;-1 NONE;0;-1
105;-1 NONE;0;-1
106;-1 NONE;0;-1
107;-1 NONE;0;-1
108;-1 NONE;0;-1
109;-1 NONE;0;-1
110;-1 NONE;0;-1
111;-1 NONE;0;-1
112;-1 NONE;0;-1
113;-1 NONE;0;-1
114;-1 NONE;0;-1
115;-1 NONE;0;-1
116;-1 NONE;0;-1
117;-1 NONE;0;-1
118;-1 NONE;0;-1
119;-1 NONE;0;-1
120;-1 NONE;0;-1
121;-1 NONE;0;-1
122;-1 NONE;0;-1
123;-1 NONE;0;-1
124;-1 NONE;0;-1
125;-1 NONE;0;-1
126;-1 NONE;0;-1
127;-1 NONE;0;-1
128;-1 NONE;0;-1
129;-1 NONE;0;-1
130;-1 NONE;0;-1
131;-1 NONE;0;-1
132;-1 NONE;0;-1
133;-1 NONE;0;-1
134;-1 NONE;0;-1
135;-1 NONE;0;-1
136;-1 NONE;0;-1
137;-1 NONE;0;-1
138;-1 NONE;0;-1
139;-1 NONE;0;-1
140;-1 NONE;0;-1
141;-1 NONE;0;-1
142;-1 NONE;0;-1
143;-1 NONE;0;-1
144;-1 NONE;0;-1
145;-1 NONE;0;-1
146;-1 NONE;0;-1
147;-1 NONE;0;-1
148;-1 NONE;0;-1
149;-1 NONE;0;-1
150;-1 NONE;0;-1
151;-1 NONE;0;-1
152;-1 NONE;0;-1
153;-1 NONE;0;-1
154;-1 NONE;0;-1
155;-1 NONE;0;-1
156;-1 NONE;0;-1
157;-1 NONE;0;-1
158;-1 NONE;0;-1
159;-1 NONE;0;-1
160;-1 NONE;0;-1
161;-1 NONE;0;-1
162;-1 NONE;0;-1
163;-1 NONE;0;-1
164;-1 NONE;0;-1
165;-1 NONE;0;-1
166;-1 NONE;0;-1
167;-1 NONE;0;-1
168;-1 NONE;0;-1
169;-1 NONE;0;-1
170;-1 NONE;0;-1
171;-1 NONE;0;-1
172;-1 NONE;0;-1
173;-1 NONE;0;-1
174;-1 NONE;0;-1
175;-1 NONE;0;-1
176;-1 NONE;0;-1
177;-1 NONE;0;-1
178;-1 NONE;0;-1
179;-1 NONE;0;-1
180;-1 NONE;0;-1
181;-1 NONE;0;-1
182;-1 NONE;0;-1
183;-1 NONE;0;-1
184;-1 NONE;0;-1
185;-1 NONE;0;-1
186;-1 NONE;0;-1
187;-1 NONE;0;-1
188;-1 NONE;0;-1
189;-1 NONE;0;-1
190;-1 NONE;0;-1
191;-1 NONE;0;-1
192;-1 NONE;0;-1
193;-1 NONE;0;-1
194;-1 NONE;0;-1
195;-1 NONE;0;-1
196;-1 NONE;0;-1
197;-1 NONE;0;-1
198;-1 NONE;0;-1
199;-1 NONE;0;-1
200;-1 NONE;0;-1
201;-1 NONE;0;-1
202;-1 NONE;0;-1
203;-1 NONE;0;-1
204;-1 NONE;0;-1
205;-1 NONE;0;-1
206;-1 NONE;0;-1
207;-1 NONE;0;-1
208;-1 NONE;0;-1
209;-1 NONE;0;-1
210;-1 NONE;0;-1
211;-1 NONE;0;-1
212;-1 NONE;0;-1
213;-1 NONE;0;-1
214;-1 NONE;0;-1
215;-1 NONE;0;-1
216;-1 NONE;0;-1
217;-1 NONE;0;-1
218;-1 NONE;0;-1
219;-1 NONE;0;-1
220;-1 NONE;0;-1
221;-1 NONE;0;-1
222;-1 NONE;0;-1
223;-1 NONE;0;-1
224;-1 NONE;0;-1
225;-1 NONE;0;-1
226;-1 NONE;0;-1
227;-1 NONE;0;-1
228;-1 NONE;0;-1
229;-1 NONE;0;-1
230;-1 NONE;0;-1
231;-1 NONE;0;-1
232;-1 NONE;0;-1
233;-1 NONE;0;-1
234;-1 NONE;0;-1
235;-1 NONE;0;-1
236;-1 NONE;0;-1
237;-1 NONE;0;-1
238;-1 NONE;0;-1
239;-1 NONE;0;-1
240;-1 NONE;0;-1
241;-1 NONE;0;-1
242;-1 NONE;0;-1
243;-1 NONE;0;-1
244;-1 NONE;0;-1
245;-1 NONE;0;-1
246;-1 NONE;0;-1
247;-1 NONE;0;-1
248;-1 NONE;0;-1
249;-1 NONE;0;-1
250;-1 NONE;0;-1
251;-1 NONE;0;-1
252;-1 NONE;0;-1
253;-1 NONE;0;-1
254;-1 NONE;0;-1
255;-1 NONE;0;-1
256;-1 NONE;0;-1
257;-1 NONE;0;-1
258;-1 NONE;0;-1
259;-1 NONE;0;-1
260;-1 NONE;0;-1
261;-1 NONE;0;-1
262;-1 NONE;0;-1
263;-1 NONE;0;-1
264;-1 NONE;0;-1
265;-1 NONE;0;-1
266;-1 NONE;0;-1
267;-1 NONE;0;-1
268;-1 NONE;0;-1
269;-1 NONE;0;-1
270;-1 NONE;0;-1
271;-1 NONE;0;-1
272;-1 NONE;0;-1
273;-1 NONE;0;-1
274;-1 NONE;0;-1
275;-1 NONE;0;-1
276;-1 NONE;0;-1
277;-1 NONE;0;-1
278;-1 NONE;0;-1
279;-1 NONE;0;-1
280;-1 NONE;0;-1
281;-1 NONE;0;-1
282;-1 NONE;0;-1
283;-1 NONE;0;-1
284;-1 NONE;0;-1
285;-1 NONE;0;-1
286;-1 NONE;0;-1
287;-1 NONE;0;-1
288;-1 NONE;0;-1
